timestamp,prompt_id,input_tokens,output_tokens,size,util_gpu,util_mem
2025/06/13 18:44:04.479,0,10,236,10,98,100
2025/06/13 18:44:04.598,0,10,236,10,98,100
2025/06/13 18:44:04.698,0,10,236,10,98,100
2025/06/13 18:44:04.798,0,10,236,10,98,100
2025/06/13 18:44:04.898,0,10,236,10,97,100
2025/06/13 18:44:04.998,0,10,236,10,97,100
2025/06/13 18:44:05.098,0,10,236,10,97,100
2025/06/13 18:44:05.198,0,10,236,10,97,100
2025/06/13 18:44:05.298,0,10,236,10,98,100
2025/06/13 18:44:05.398,0,10,236,10,98,100
2025/06/13 18:44:05.499,0,10,236,10,97,100
2025/06/13 18:44:05.599,0,10,236,10,97,100
2025/06/13 18:44:05.699,0,10,236,10,98,100
2025/06/13 18:44:05.799,0,10,236,10,98,100
2025/06/13 18:44:05.899,0,10,236,10,97,100
2025/06/13 18:44:05.999,0,10,236,10,97,100
2025/06/13 18:44:06.099,0,10,236,10,98,100
2025/06/13 18:44:06.199,0,10,236,10,98,100
2025/06/13 18:44:06.299,0,10,236,10,98,100
2025/06/13 18:44:06.400,0,10,236,10,98,100
2025/06/13 18:44:06.500,0,10,236,10,98,100
2025/06/13 18:44:06.600,0,10,236,10,98,100
2025/06/13 18:44:06.700,0,10,236,10,98,100
2025/06/13 18:44:06.800,0,10,236,10,98,100
2025/06/13 18:44:06.900,0,10,236,10,98,100
2025/06/13 18:44:07.000,0,10,236,10,98,100
2025/06/13 18:44:07.100,0,10,236,10,98,100
2025/06/13 18:44:07.200,0,10,236,10,98,100
2025/06/13 18:44:07.301,0,10,236,10,98,100
2025/06/13 18:44:07.401,0,10,236,10,98,100
2025/06/13 18:44:07.501,0,10,236,10,98,100
2025/06/13 18:44:07.601,0,10,236,10,98,100
2025/06/13 18:44:07.701,0,10,236,10,98,100
2025/06/13 18:44:07.801,0,10,236,10,98,100
2025/06/13 18:44:07.901,0,10,236,10,98,100
2025/06/13 18:44:08.001,0,10,236,10,98,100
2025/06/13 18:44:08.101,0,10,236,10,98,100
2025/06/13 18:44:08.201,0,10,236,10,98,100
2025/06/13 18:44:08.302,0,10,236,10,98,100
2025/06/13 18:44:08.402,0,10,236,10,98,100
2025/06/13 18:44:08.502,0,10,236,10,98,100
2025/06/13 18:44:08.602,0,10,236,10,98,100
2025/06/13 18:44:08.702,0,10,236,10,98,100
2025/06/13 18:44:08.802,0,10,236,10,98,100
2025/06/13 18:44:08.902,0,10,236,10,98,100
2025/06/13 18:44:09.002,0,10,236,10,98,100
2025/06/13 18:44:09.102,0,10,236,10,98,100
2025/06/13 18:44:09.202,0,10,236,10,98,100
2025/06/13 18:44:09.303,0,10,236,10,98,100
2025/06/13 18:44:09.403,0,10,236,10,98,100
2025/06/13 18:44:09.503,0,10,236,10,98,100
2025/06/13 18:44:09.603,0,10,236,10,98,100
2025/06/13 18:44:09.703,0,10,236,10,98,100
2025/06/13 18:44:09.803,0,10,236,10,98,100
2025/06/13 18:44:09.903,0,10,236,10,98,100
2025/06/13 18:44:10.003,0,10,236,10,98,100
2025/06/13 18:44:10.103,0,10,236,10,98,100
2025/06/13 18:44:10.203,0,10,236,10,98,100
2025/06/13 18:44:10.304,0,10,236,10,98,100
2025/06/13 18:44:10.404,0,10,236,10,98,100
2025/06/13 18:44:10.504,0,10,236,10,98,100
2025/06/13 18:44:10.604,0,10,236,10,98,100
2025/06/13 18:44:10.704,0,10,236,10,98,100
2025/06/13 18:44:10.804,0,10,236,10,98,100
2025/06/13 18:44:10.904,0,10,236,10,98,100
2025/06/13 18:44:11.004,0,10,236,10,98,100
2025/06/13 18:44:11.104,0,10,236,10,98,100
2025/06/13 18:44:11.204,0,10,236,10,98,100
2025/06/13 18:44:11.305,0,10,236,10,98,100
2025/06/13 18:44:11.405,0,10,236,10,98,100
2025/06/13 18:44:11.505,0,10,236,10,98,100
2025/06/13 18:44:11.605,0,10,236,10,98,100
2025/06/13 18:44:11.705,0,10,236,10,98,100
2025/06/13 18:44:11.805,0,10,236,10,98,100
2025/06/13 18:44:11.905,0,10,236,10,98,100
2025/06/13 18:44:12.005,0,10,236,10,98,100
2025/06/13 18:44:12.105,0,10,236,10,98,100
2025/06/13 18:44:12.206,0,10,236,10,98,100
2025/06/13 18:44:12.306,0,10,236,10,98,100
2025/06/13 18:44:12.406,0,10,236,10,98,100
2025/06/13 18:44:12.506,0,10,236,10,98,100
2025/06/13 18:44:12.606,0,10,236,10,98,100
2025/06/13 18:44:12.706,0,10,236,10,98,100
2025/06/13 18:44:12.806,0,10,236,10,98,100
2025/06/13 18:44:12.906,0,10,236,10,98,100
2025/06/13 18:44:13.006,0,10,236,10,98,100
2025/06/13 18:44:13.106,0,10,236,10,98,100
2025/06/13 18:44:13.207,0,10,236,10,98,100
2025/06/13 18:44:13.307,0,10,236,10,98,100
2025/06/13 18:44:13.407,0,10,236,10,98,100
2025/06/13 18:44:13.507,0,10,236,10,98,100
2025/06/13 18:44:13.607,0,10,236,10,98,100
2025/06/13 18:44:13.707,0,10,236,10,98,100
2025/06/13 18:44:13.807,0,10,236,10,98,100
2025/06/13 18:44:14.123,1,10,841,10,64,71
2025/06/13 18:44:14.248,1,10,841,10,64,71
2025/06/13 18:44:14.348,1,10,841,10,98,100
